id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,kondisi_lab,jumlah_lab,satuan,tahun
219,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,RUSAK BERAT,0,UNIT,2018/2019
220,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,RUSAK TOTAL,0,UNIT,2018/2019
221,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,BAIK,3,UNIT,2018/2019
222,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,RUSAK RINGAN,1,UNIT,2018/2019
223,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,RUSAK SEDANG,0,UNIT,2018/2019
224,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,RUSAK BERAT,0,UNIT,2018/2019
225,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,RUSAK TOTAL,0,UNIT,2018/2019
226,32,JAWA BARAT,3271,KOTA BOGOR,BAIK,2,UNIT,2018/2019
227,32,JAWA BARAT,3271,KOTA BOGOR,RUSAK RINGAN,3,UNIT,2018/2019
228,32,JAWA BARAT,3271,KOTA BOGOR,RUSAK SEDANG,0,UNIT,2018/2019
229,32,JAWA BARAT,3271,KOTA BOGOR,RUSAK BERAT,0,UNIT,2018/2019
230,32,JAWA BARAT,3271,KOTA BOGOR,RUSAK TOTAL,0,UNIT,2018/2019
231,32,JAWA BARAT,3272,KOTA SUKABUMI,BAIK,2,UNIT,2018/2019
232,32,JAWA BARAT,3272,KOTA SUKABUMI,RUSAK RINGAN,3,UNIT,2018/2019
233,32,JAWA BARAT,3272,KOTA SUKABUMI,RUSAK SEDANG,0,UNIT,2018/2019
234,32,JAWA BARAT,3272,KOTA SUKABUMI,RUSAK BERAT,0,UNIT,2018/2019
235,32,JAWA BARAT,3272,KOTA SUKABUMI,RUSAK TOTAL,0,UNIT,2018/2019
236,32,JAWA BARAT,3273,KOTA BANDUNG,BAIK,9,UNIT,2018/2019
237,32,JAWA BARAT,3273,KOTA BANDUNG,RUSAK RINGAN,6,UNIT,2018/2019
238,32,JAWA BARAT,3273,KOTA BANDUNG,RUSAK SEDANG,1,UNIT,2018/2019
239,32,JAWA BARAT,3273,KOTA BANDUNG,RUSAK BERAT,0,UNIT,2018/2019
